participantId,month,category,amount
0,2022-03,expense,1210
0,2022-03,wage,9459
1,2022-03,expense,1930
1,2022-03,wage,8312
2,2022-03,expense,1291
2,2022-03,wage,7285
3,2022-03,expense,1339
3,2022-03,wage,7041
4,2022-03,expense,2678
4,2022-03,wage,9133
5,2022-03,expense,1493
5,2022-03,wage,1840
6,2022-03,expense,1958
6,2022-03,wage,1790
7,2022-03,expense,2512
7,2022-03,wage,6181
8,2022-03,expense,2341
8,2022-03,wage,3667
9,2022-03,expense,1373
9,2022-03,wage,13193
10,2022-03,expense,1390
10,2022-03,wage,6798
11,2022-03,expense,1772
11,2022-03,wage,6581
12,2022-03,expense,1606
12,2022-03,wage,6280
13,2022-03,expense,2525
13,2022-03,wage,5930
14,2022-03,expense,2373
14,2022-03,wage,7339
15,2022-03,expense,1329
15,2022-03,wage,6199
16,2022-03,expense,1565
16,2022-03,wage,10062
17,2022-03,expense,1661
17,2022-03,wage,18400
18,2022-03,expense,1522
18,2022-03,wage,18400
19,2022-03,expense,1742
19,2022-03,wage,9387
20,2022-03,expense,1562
20,2022-03,wage,6109
21,2022-03,expense,2865
21,2022-03,wage,2305
22,2022-03,expense,2359
22,2022-03,wage,3315
23,2022-03,expense,1770
23,2022-03,wage,4867
24,2022-03,expense,1527
24,2022-03,wage,8349
25,2022-03,expense,1500
25,2022-03,wage,5980
26,2022-03,expense,1861
26,2022-03,wage,5614
27,2022-03,expense,1654
27,2022-03,wage,6408
28,2022-03,expense,2087
28,2022-03,wage,14183
29,2022-03,expense,1515
29,2022-03,wage,4677
30,2022-03,expense,2073
30,2022-03,wage,2195
31,2022-03,expense,1409
31,2022-03,wage,15444
32,2022-03,expense,1576
32,2022-03,wage,6237
33,2022-03,expense,1196
33,2022-03,wage,12576
34,2022-03,expense,2523
34,2022-03,wage,4226
35,2022-03,expense,2334
35,2022-03,wage,2011
36,2022-03,expense,1582
36,2022-03,wage,15269
37,2022-03,expense,1717
37,2022-03,wage,6235
38,2022-03,expense,1360
38,2022-03,wage,5177
39,2022-03,expense,2250
39,2022-03,wage,3810
40,2022-03,expense,2466
40,2022-03,wage,1840
41,2022-03,expense,2065
41,2022-03,wage,2013
42,2022-03,expense,1423
42,2022-03,wage,6020
43,2022-03,expense,1970
43,2022-03,wage,12228
45,2022-03,expense,1367
45,2022-03,wage,14999
46,2022-03,expense,1809
46,2022-03,wage,5965
47,2022-03,expense,1704
47,2022-03,wage,5511
48,2022-03,expense,2055
48,2022-03,wage,5347
49,2022-03,expense,1423
49,2022-03,wage,14924
50,2022-03,expense,1904
50,2022-03,wage,5286
51,2022-03,expense,1697
51,2022-03,wage,13821
52,2022-03,expense,2231
52,2022-03,wage,2748
53,2022-03,expense,1301
53,2022-03,wage,4457
54,2022-03,expense,3192
54,2022-03,wage,8585
55,2022-03,expense,2269
55,2022-03,wage,2036
56,2022-03,expense,2314
56,2022-03,wage,3577
57,2022-03,expense,1885
57,2022-03,wage,11828
58,2022-03,expense,1668
58,2022-03,wage,14683
59,2022-03,expense,1497
59,2022-03,wage,11929
60,2022-03,expense,2009
60,2022-03,wage,5151
61,2022-03,expense,1814
61,2022-03,wage,5174
62,2022-03,expense,1560
62,2022-03,wage,7994
63,2022-03,expense,1982
63,2022-03,wage,5104
64,2022-03,expense,1789
64,2022-03,wage,4895
65,2022-03,expense,1582
65,2022-03,wage,4817
66,2022-03,expense,2971
66,2022-03,wage,6495
67,2022-03,expense,1628
67,2022-03,wage,4800
68,2022-03,expense,1891
68,2022-03,wage,4672
69,2022-03,expense,2359
69,2022-03,wage,4452
70,2022-03,expense,2118
70,2022-03,wage,2691
71,2022-03,expense,2451
71,2022-03,wage,2681
72,2022-03,expense,1480
72,2022-03,wage,11253
73,2022-03,expense,1753
73,2022-03,wage,7418
74,2022-03,expense,2149
74,2022-03,wage,1859
75,2022-03,expense,2575
75,2022-03,wage,2950
76,2022-03,expense,1456
76,2022-03,wage,4648
77,2022-03,expense,1758
77,2022-03,wage,4410
78,2022-03,expense,1583
78,2022-03,wage,13790
79,2022-03,expense,1107
79,2022-03,wage,6022
80,2022-03,expense,1614
80,2022-03,wage,4573
81,2022-03,expense,2240
81,2022-03,wage,5821
82,2022-03,expense,2468
82,2022-03,wage,6365
83,2022-03,expense,1311
83,2022-03,wage,5656
84,2022-03,expense,1710
84,2022-03,wage,4456
85,2022-03,expense,1937
85,2022-03,wage,4413
86,2022-03,expense,1582
86,2022-03,wage,4328
87,2022-03,expense,2189
87,2022-03,wage,2129
88,2022-03,expense,2105
88,2022-03,wage,1859
89,2022-03,expense,1720
89,2022-03,wage,5780
90,2022-03,expense,1399
90,2022-03,wage,5680
91,2022-03,expense,1875
91,2022-03,wage,1859
92,2022-03,expense,1626
92,2022-03,wage,4255
93,2022-03,expense,1696
93,2022-03,wage,3907
94,2022-03,expense,1631
94,2022-03,wage,7344
95,2022-03,expense,1880
95,2022-03,wage,3890
96,2022-03,expense,1661
96,2022-03,wage,4074
97,2022-03,expense,2345
97,2022-03,wage,5808
98,2022-03,expense,1724
98,2022-03,wage,4020
99,2022-03,expense,1829
99,2022-03,wage,6867
100,2022-03,expense,1349
100,2022-03,wage,3955
101,2022-03,expense,878
101,2022-03,wage,5636
102,2022-03,expense,1898
102,2022-03,wage,11088
103,2022-03,expense,1360
103,2022-03,wage,10609
104,2022-03,expense,1761
104,2022-03,wage,2200
105,2022-03,expense,2166
105,2022-03,wage,3035
106,2022-03,expense,2236
106,2022-03,wage,5494
107,2022-03,expense,1655
107,2022-03,wage,3977
108,2022-03,expense,1528
108,2022-03,wage,5607
109,2022-03,expense,1772
109,2022-03,wage,5605
110,2022-03,expense,2003
110,2022-03,wage,5485
111,2022-03,expense,2124
111,2022-03,wage,1840
112,2022-03,expense,1736
112,2022-03,wage,11004
113,2022-03,expense,2196
113,2022-03,wage,6136
114,2022-03,expense,1652
114,2022-03,wage,9665
115,2022-03,expense,2222
115,2022-03,wage,3974
116,2022-03,expense,1426
116,2022-03,wage,13412
117,2022-03,expense,2347
117,2022-03,wage,5936
118,2022-03,expense,1320
118,2022-03,wage,10501
119,2022-03,expense,1966
119,2022-03,wage,9399
120,2022-03,expense,2366
120,2022-03,wage,3217
121,2022-03,expense,1475
121,2022-03,wage,3929
122,2022-03,expense,1359
122,2022-03,wage,5501
123,2022-03,expense,1341
123,2022-03,wage,5434
124,2022-03,expense,1633
124,2022-03,wage,13195
125,2022-03,expense,2116
125,2022-03,wage,11387
126,2022-03,expense,2258
126,2022-03,wage,2025
128,2022-03,expense,2154
128,2022-03,wage,4569
129,2022-03,expense,2032
129,2022-03,wage,3663
130,2022-03,expense,2080
130,2022-03,wage,3812
131,2022-03,expense,2456
131,2022-03,wage,2959
132,2022-03,expense,1701
132,2022-03,wage,8847
133,2022-03,expense,1687
133,2022-03,wage,3784
134,2022-03,expense,1273
134,2022-03,wage,5407
135,2022-03,expense,2436
135,2022-03,wage,3254
136,2022-03,expense,1680
136,2022-03,wage,8618
137,2022-03,expense,1665
137,2022-03,wage,2161
138,2022-03,expense,2478
138,2022-03,wage,3726
139,2022-03,expense,2618
139,2022-03,wage,4221
140,2022-03,expense,1491
